2022/06/17 19:56:44 [error] 18828#16008: *1 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://127.0.0.1:10002", host: "fictional-university.local", referrer: "http://fictional-university.local/wp-admin/edit.php?post_type=event"
2022/06/18 00:11:15 [error] 4808#18796: *6400 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/?_fields=description%2Cgmt_offset%2Chome%2Cname%2Csite_icon%2Csite_icon_url%2Csite_logo%2Ctimezone_string%2Curl&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10003", host: "fictional-university.local", referrer: "http://fictional-university.local/wp-admin/post.php?post=54&action=edit"
2022/06/18 00:11:15 [error] 4808#18796: *6404 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/templates?context=edit&post_type=event&per_page=100&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10003", host: "fictional-university.local", referrer: "http://fictional-university.local/wp-admin/post.php?post=54&action=edit"
2022/06/18 00:11:15 [error] 4808#18796: *6406 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "OPTIONS /wp-json/wp/v2/templates?_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10002", host: "fictional-university.local", referrer: "http://fictional-university.local/wp-admin/post.php?post=54&action=edit"
2022/06/18 00:11:15 [error] 4808#18796: *6406 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "OPTIONS /wp-json/wp/v2/templates?_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "fictional-university.local", referrer: "http://fictional-university.local/wp-admin/post.php?post=54&action=edit"
2022/06/18 00:11:15 [error] 4808#18796: *6397 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/block-patterns/categories?_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10002", host: "fictional-university.local", referrer: "http://fictional-university.local/wp-admin/post.php?post=54&action=edit"
2022/06/18 00:11:15 [error] 4808#18796: *6397 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/block-patterns/categories?_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "fictional-university.local", referrer: "http://fictional-university.local/wp-admin/post.php?post=54&action=edit"
2022/06/18 00:11:15 [error] 4808#18796: *6408 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/taxonomies?context=edit&per_page=100&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10003", host: "fictional-university.local", referrer: "http://fictional-university.local/wp-admin/post.php?post=54&action=edit"
2022/06/18 00:11:15 [error] 4808#18796: *6408 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/taxonomies?context=edit&per_page=100&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "fictional-university.local", referrer: "http://fictional-university.local/wp-admin/post.php?post=54&action=edit"
2022/06/18 00:11:15 [error] 4808#18796: *6402 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/users?context=view&who=authors&per_page=50&_fields=id%2Cname&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10002", host: "fictional-university.local", referrer: "http://fictional-university.local/wp-admin/post.php?post=54&action=edit"
2022/06/18 00:11:15 [error] 4808#18796: *6402 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/users?context=view&who=authors&per_page=50&_fields=id%2Cname&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "fictional-university.local", referrer: "http://fictional-university.local/wp-admin/post.php?post=54&action=edit"
2022/06/18 00:11:15 [error] 4808#18796: *6412 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "OPTIONS /wp-json/wp/v2/event/54?_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "fictional-university.local", referrer: "http://fictional-university.local/wp-admin/post.php?post=54&action=edit"
2022/06/18 00:11:15 [error] 4808#18796: *6413 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/themes?context=edit&status=active&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "fictional-university.local", referrer: "http://fictional-university.local/wp-admin/post.php?post=54&action=edit"
2022/06/18 00:11:15 [error] 4808#18796: *6414 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/taxonomies?context=edit&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "fictional-university.local", referrer: "http://fictional-university.local/wp-admin/post.php?post=54&action=edit"
2022/06/18 00:11:21 [error] 4808#18796: *6415 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "fictional-university.local", referrer: "http://fictional-university.local/wp-admin/post.php?post=54&action=edit"
2022/06/18 00:11:21 [error] 4808#18796: *6416 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-json/wp/v2/event/54?_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "fictional-university.local", referrer: "http://fictional-university.local/wp-admin/post.php?post=54&action=edit"
2022/06/18 00:11:21 [error] 4808#18796: *6417 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/post.php?post=54&action=edit&meta-box-loader=1&meta-box-loader-nonce=e1aab0887e&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "fictional-university.local", referrer: "http://fictional-university.local/wp-admin/post.php?post=54&action=edit"
2022/06/20 18:10:02 [error] 11720#2724: *4961 upstream sent unsupported FastCGI protocol version: 50 while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.0", upstream: "fastcgi://127.0.0.1:10012", host: "fictional-university.local", referrer: "http://fictional-university.local/wp-admin/post.php?post=89&action=edit"
